Loyalty_customer_No ,Loyalty_customer_Yes,Product_Category_Child_care,Product_Category_Cosmetics,Product_Category_Educational,Product_Category_Fashion,Product_Category_Home_decor,Product_Category_Hospitality,Product_Category_Organic,Product_Category_Pet_care,Product_Category_Repair,Product_Category_Technology,Stall_no,Market_Category,Demand,charges_1,charges in percentage,Minimum_price,Maximum_price,Grade,Discount_avail,Selling_Price,Product_id
0,1,0,0,0,1,0,0,0,0,0,0,0.806980677345821,-1.155956260654981,0.6028142292140771,0.9006580028824264,0.17572142111694916,-0.23698219416786084,-0.4496924570031168,1,0.0,4185.9477,BRAE2NF6JA5GUEXG
0,1,0,0,0,1,0,0,0,0,0,0,0.8766792687067655,-1.026374180372769,0.014897385844740884,1.0709794466827913,0.41143203207854423,1.830032804888687,1.1142798072169566,0,0.0,9271.490256,TUNE8SFB6RJN2HSD
0,1,1,0,0,0,0,0,0,0,0,0,-1.1445798807606244,1.4651358177806686,-1.4030197069871877,-0.12127065991976263,-0.29569980080624103,1.0315383138967626,0.2703061239359346,0,0.0,6785.701362,BRAEAR7WZPQGPBZU
0,1,0,0,1,0,0,0,0,0,0,0,1.7130623650380992,-1.0322642749310513,-0.08885264533808317,-0.9809884238644614,0.6471426430401394,0.7282661664288028,4.015907370308003,2,0.0,13028.917824,WATDZ2ZQ8JPDHCTJ
0,1,0,0,0,0,0,0,0,0,1,0,-1.2839770634825134,-0.796660492599757,-0.5384361137969874,-0.43758191269186875,-1.4742528556142165,-0.4903198037596762,0.8116918057514309,1,1.0,906.553935,JWSEBUKYQPMBZ3RK
1,0,0,0,0,0,0,0,0,0,0,1,-0.16879960170740166,-0.21354113132980357,-0.05426930161047515,2.985068053201177,-1.0028316336910263,0.21013807158550588,-0.06389968886512735,1,0.0,5631.247872,SHIECAYW3VZWGZGX
1,0,0,1,0,0,0,0,0,0,0,0,0.5281863119020431,1.5534872361549041,0.22239744821038898,-0.015833575662393923,0.6471426430401394,-0.6845605749476142,-0.29881448010371614,3,0.0,3874.264992,SHOE4FZGGTE7HJXN
0,1,0,0,1,0,0,0,0,0,0,0,-1.4930728375653468,-1.0322642749310513,0.5682308854864692,-1.305410221579442,1.1185638649633294,0.043842317007153304,-0.11465459653533012,1,0.0,4820.9436,SHOE6QGAYFFMBWG6
0,1,1,0,0,0,0,0,0,0,0,0,0.040296172375431774,-0.24888169867949772,0.08406407329995691,0.36536203665270833,-1.0028316336910263,1.5872318409037645,1.0704586301027925,0,0.0,8837.72424,KRTEBSMKCGFESHYX
0,1,1,0,0,0,0,0,0,0,0,0,-1.4233742462044023,0.4520395537561029,1.1561477288558053,0.45457803102432803,-0.5314104117678361,-1.0982384437747557,-0.2508330646559288,0,1.0,530.7618624,BRAE3P8Y8UVRY43K
0,1,0,1,0,0,0,0,0,0,0,0,-0.656689741234013,-1.1500661660966984,-1.5413530818976198,-0.14560229474838618,1.5899850868865197,-0.882924381373032,-0.948366358593415,0,0.0,2494.560519,PTPE4JYT3DUYHFTM
0,1,0,0,0,0,0,0,0,0,1,0,-1.7021686116481802,0.4108088918481264,-0.9880195822558916,0.07338241870922575,-2.181384688499002,-0.11191679196430641,-0.08359148364427707,2,0.0,4906.6626,SUDEGGB5GCHTY53K
0,1,0,0,0,0,0,1,0,0,0,0,0.94637786006771,-0.060398672814462255,0.6028142292140771,-0.09693902509113908,0.17572142111694916,-0.3670868616616684,-0.3953320094437739,0,0.0,4020.5682,TSHE5YZCKAZYG7MS
0,1,0,1,0,0,0,0,0,0,0,0,1.3645694082333768,-0.07217886193102697,-0.4346860826141633,0.21126168273809254,1.5899850868865197,0.07178733361673872,14.554623117042238,0,1.0,4724.948025,GLSEHPS9CJATDCTY
0,1,0,0,0,0,0,0,1,0,0,0,1.4342679995943213,0.9409174020935386,-0.4001027388865553,-1.1999731373220732,-0.29569980080624103,1.6518260596242815,3.4287590668226517,3,0.0,12997.534725,KRTECQSZ85P8QKZU
1,0,0,0,1,0,0,0,0,0,0,0,-0.7263883325949575,-1.026374180372769,-1.1955196446215397,-1.102646598007579,-0.059989189844645935,-0.2681340159621528,-0.5717261147893966,0,0.0,3726.217341,CRTECN2QYG5PEBZC
1,0,0,0,0,1,0,0,0,0,0,0,-0.796086923955902,-1.1618463552132632,0.8103142915797252,4.610311033772243e-16,0.17572142111694916,-1.2434609071393226,-0.21519368959789026,0,0.0,2582.8605,SHIEBKMSYJFA9XZT
0,1,0,0,1,0,0,0,0,0,0,0,-0.5869911498730686,-1.1500661660966984,0.22239744821038898,-1.1756415024934497,-0.059989189844645935,-0.7761835802249435,-1.060692793601241,0,0.0,2265.566976,NKCE7S69FPFG9S5C
1,0,0,0,0,0,0,1,0,0,0,0,-0.796086923955902,0.5639513503634677,-0.7459361761626354,0.06527187376635124,-0.29569980080624103,-0.7441155283778782,-0.6219263240151164,2,0.0,3251.540775,BRAE8WYH2TFGZAQG
0,1,0,0,0,0,0,1,0,0,0,0,0.7372820859848765,1.5181466688052099,0.18781410448278096,0.4302463961957045,-0.5314104117678361,0.3132139525225013,0.17240184848466916,0,0.0,5854.748256,NKCE8UUWSCRYZFAD
