Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3550.9768447999995
ACCEGCATKHNRXUHW,2914.6678352
NKCE6GJ5XVJDXNNZ,11061.0214672
NKCEB8BK3ZXDHDHM,10596.795052800002
TOPEFDXSAHRNPF94,4967.518230600001
ACCE558KZHEPZYMG,7810.325452199999
ACCEAZCVAMFHDPY7,4841.058355200001
NKCDYNY37JPBGBVM,3700.9203258000002
NKCEY8KWY33FCUYD,7899.034949999999
RNGE4YPTQYRECV9J,4204.5454656
NKCE88AHBHJZREXH,4305.297981599999
CLTEJ5ZZGBP4JGGE,7139.384907199999
WATE3NWH5FZWAMDA,8136.3071544
CAGE53FSFZVFPFHQ,3054.4162487999997
PCSEAKVBFFPGCHNZ,3379.2610188
WATDFFH3KJYBTYGG,7397.780261
NKCDWHFQSCHHYZMP,2589.08407005
RNGEB2PG3Q5RKDW6,3875.304970800001
NKCE5UY9HHPZGGUZ,4468.6662504
KTAEHETW3ZCMFMJR,4022.2132162000003
BRAEBBYRVF9MHJHU,7680.3469896
NKCEAX7HAQ2RJA3Q,7892.823901599999
CRTECN2RQZWBSP9W,5281.2546602
WATDEWZ9UHSEHGZG,7984.962066399999
PTPEYW8HNV6G9YYR,3153.7766304
ACCEAMGZRRYVAHDC,4695.8760336
SRTEHHXG8MUXTGPA,5429.5477738
SKIE4S4NN4MHYM3Z,3924.3803192
HMBE7G34YHWPWKYN,7036.42896
LLIEGTMFJBD7ZZZM,10007.01072288
ACCEJGH6JVTM4CBH,4128.7747862999995
ACCDQDYBXJ9HZF37,8857.250385
RNGE88FRGZCXNKUG,4130.2907928
NKCE7M3QNNPZDXHQ,9615.1147864
VLBEGFFDP9H6WG2T,1954.9977304
TOPEAFG4YEQSH5TT,3134.2708982
WATEYAP3K2QQQWDH,3721.0577361299997
PCSEBDFUFJWGARNX,10406.553888600001
SWTEGXQFZY95SKG7,4726.68595488
BRAEGJFXSM9ZQ6SK,6009.381206399999
CAGE6FYKP34GA4GF,7483.621798799999
HMBEJCMH78VJF3M8,4032.1250816
HIFEB7J3GSTVN5XJ,8639.64456525
PBXE6ZHNGZREWWHR,3731.258872
PCSEAKVBNXFGZBKB,5692.207589
BRAEBBMQQNZ9RZWR,5733.2794464
ACCEGKFCXHZZH44S,3577.8036439499992
SHODXQRRGKZ74U9M,3187.7544480000006
DREE2Y6DVEKVVQQS,4044.9400044000004
PBXE8ZHHG5Y525BT,5875.0156584
CTTEH9FXZHGFKUA3,8459.354798199998
ACCDXFZXGQTBTM6N,3602.76005283
NKCE9PFF3TT4KSQJ,5631.7020624
BRAE6NZAZK77HXZK,1318.8511072000001
NKCE4TV42BHDP63U,3762.0193236
AIREDGGD9RJPZGYW,5270.097168
PCSEDAPMHR2HNHWP,6620.2130984000005
PACE95FMAFXHZB5C,4442.0155788
WATDG4KP445AV5XC,12276.7147674
ACCE9EYRRNZYZUBG,1806.6875173600001
ACCE8XZMAHNC8JVS,3436.8463749000002
SHOED5DCSTQKZCGF,3980.1021984
NKCE64Z4NGBHNAY7,2832.61291971
PBXE8WQTZ5GA2YYQ,931.73642664
MUGEGZUMGYAPVSZH,3739.19147472
PBXE4RB3Y3GXWPFV,4040.2619142000003
PCSE2ZFDJJGFNHC7,3036.18065157
CRTECN2QT5HKHZ8F,4508.98647279
MUGEACY8Q7ZYSTN8,1388.95812396
ACCEGG9VGRMQGHRD,5212.4848086
PCSE76X48PVSDDVK,1897.5680328000003
PBXE6677X2D6UFZZ,4016.9548238400007
WCKEGGGD2TXHHTJC,2027.9924716800003
NKCE7MMGF4PPGNA6,2409.4640152
CRTECN2QYTPHK5YQ,4142.8846976
OIDEJFCWMMR6JQBE,4963.154834399999
WATE5HFY4MJX6CHD,5568.967905
DREE4FC4TAR8M5GN,5797.15775892
HACEGPF9DZVUZBFY,8193.618427
PBXE4Q7YF5KUYJYW,10643.8712262
SHIED9YEH65NSA8N,9022.9945344
WATDHMQJ68MVBRFV,12241.910808600001
HMBEGWTFEV4TF2RH,2699.6473296
SHIE2FH7YTVDHFGT,3361.6851204
CRTECN2QYRY2KWZF,3805.5297280000004
TSHEDJXPN4HNT2UP,5599.0563942
SHOECZH5WGBZHZES,2876.1679344
NKCEDCT9MSAYG6H5,5620.3068342
SOCEGGVYBTZPKXVP,3600.3929256
PBXECARAQBCDSAZW,4616.379145600001
CAGDU85YDHP9ZJH7,2919.2698037999994
TCVEHSMFEGNCAGYN,4846.340980200001
RNGEDAPFZ2GKRUER,4312.042924199999
CAGDY9Q7HSNDHGFC,3739.4344902
NKCECKHYZVHBQU9F,2178.1698354
NKCDQSVCRH8W73GF,5794.5453104
WATD9H76RKGUUZHY,11222.532983000001
NKCE5HYVDQVATMKF,2118.0923382
RNGE9GWMKVHGEYZG,4125.194267
SHOEAGUMMWFABHUT,2467.4884626
SWDEGZMPYQGNEBHG,5261.424614400001
TOPEFDXSHZPHCUAU,7681.21313904
CAGDU85Y85GDJGUD,1739.0475696
CAGE4BQXK3FSTRRS,3066.4213976
CAGDZVGTV3SMMMBY,5388.511788
BEOEGXRVQPCKJHYC,2667.15281868
NKCE9YFBBYBM88DR,3375.7920348
DREECZGZVWGQM23M,4589.6589774
PBXECYF3YHWYG4UN,1657.0235719500001
WATEBG8FGBPUPKCV,3258.4301723999997
SHIEEJG9RRDUH9XG,3463.4019921999998
CRTECN2QXAPEWXSF,2636.101516
BRAEE6YMSYPNCUX3,2270.351133
WATE9MVXJXHZHEJU,3118.5774
RNGDREYRQQGZAPQM,5319.3227208
CTPEGGFSNDQFAAVE,3229.4193485999995
NKCEF2RFAPHSHZZZ,4003.3042296
TOPDYAZZG5NU7ZBZ,6193.9538304
PBXE7QPWMSS5XGPZ,1418.70999424
PCSECV3FHFAQ9T36,10770.1178752
CRNEJB4NBT9BTM84,5353.834744
TSHEHU5RFJCTJKBV,5040.87041637
DREECZJC3XBKGDZT,4690.4383948
SUDEGGATGYXA9YBC,9736.997443999999
BRAE8WYHTVZMFFHS,5044.3476122
SFFEGZBXTYFSYJQA,4289.7929184
ACCEABVYXNHCT8UE,5314.940369999999
BWLE6SJE9PXGV6DD,1530.2965827599999
